Website,Report Type,Average
 silvergames.com,Old Report,2.89
 sinproject.net,Old Report,2.5
 sistrix.com,Old Report,2.48
 skyscraper.org,Old Report,2.45
 sleeper.scot,Old Report,2.81
 smartgrid.epri.com,Old Report,3.81
 snob.ru,Old Report,2.45
 solita.fi,Old Report,2.75
 solvay.edu,Old Report,2.7
 soslc.lk,Old Report,2.21
 sso2.educamos.com,Old Report,2.63
 staxwp.com,Old Report,2.08
 stevebeck.tv,Old Report,2.75
 streetspirits.com,Old Report,3
 studio.apollographql.com,Old Report,2.47
 sumichem.co.in,Old Report,2.92
 fandom.com,Old Report,2.37
 swandolphin.com,Old Report,3
 swinburnearchive.indiana.edu,Old Report,2.57
 swls.org,Old Report,2
 szekelyhon.ro,Old Report,2.53
 tampabayhistorycenter.org,Old Report,1.51
 taylorbranch.com,Old Report,2.16
 teamwork.com,Old Report,2.4
 techzone360.com,Old Report,3
 thebanner.goodbarber.app,Old Report,2.75
 thebrickfan.com,Old Report,2.84
 thefifearms.com,Old Report,2.72
 theirishroadtrip.com,Old Report,2.13
 thelavinagency.com,Old Report,2.27
 themumblesbook.co.uk,Old Report,2
 theotherartfair.com,Old Report,2.62
 theplanets.org,Old Report,2.97
 thesaffrongael.com,Old Report,2.4
 thewinesociety.com,Old Report,1.67
 theyellowsparrow.com,Old Report,2.84
 timesteps.net,Old Report,2.96
 tinythreadpp.bitsnbites.eu,Old Report,2
 torrpenn.bzh,Old Report,2.95
 townofashland.org,Old Report,2.42
 transparency.it,Old Report,3
 trevorrabin.net,Old Report,3
 trfinc.org,Old Report,2.42
 tribpub.com,Old Report,2.94
 turinghub.org,Old Report,2.54
 turnerphotographics.com,Old Report,3.18
 typingadventure.com,Old Report,2.26
 uaenews247.com,Old Report,2.22
 ucla.academicworks.com,Old Report,2.99
 ultracold.jqi.umd.edu,Old Report,2.89
 universityarchives.com,Old Report,2.77
 urbanplanet.org,Old Report,2.96
 usaindoor.runnerspace.com,Old Report,2.53
 usmcoc.org,Old Report,2.76
 ustour.thephantomoftheopera.com,Old Report,2
 uwf.edu,Old Report,2
 vadstenadirect.se,Old Report,2.8
 ps.vatrin.com,Old Report,2.65
 ve.wordpress.org,Old Report,2.86
 velocitynation.com,Old Report,2.62
 verifone.com,Old Report,2.58
 vernalcity.org,Old Report,2.56
 ververica.com,Old Report,2.33
 verzitex.com,Old Report,2
 viaggiareibalcani.it,Old Report,2.7
 voipsipsdk.com,Old Report,3.2
 volleyspike.com,Old Report,2.33
 walkmymind.com,Old Report,2.28
 wallery.app,Old Report,1.55
 wanfangdata.com.cn,Old Report,2.94
 archive.org,Old Report,3.14
 weareconvoy.com,Old Report,2.67
 webpak.net,Old Report,2.22
 astreinvinotheke.de,Old Report,2.69
 welcometosierraleone.org,Old Report,2.86
 westconf.net,Old Report,2.69
 wiki.laptop.org,Old Report,2.88
 winnipegfreepress.com,Old Report,2.66
 wmar2news.com,Old Report,1.6
 wonderlandmagazine.com,Old Report,2.45
 wordpress.dwbooster.com,Old Report,3.3
 worldscientific.com,Old Report,3.13
 worldyannews.com,Old Report,2.6
 wpbusinessreviews.com,Old Report,2.96
 wpmultistorelocator.com,Old Report,2.67
 wpswings.com,Old Report,2.06
 x3m.games,Old Report,2.88
 xyzspolkacywilna.pl,Old Report,2.62
 yabandmedia.com,Old Report,2.5
 ynlc.ca,Old Report,2.69
 yourei.jp,Old Report,2.94
 zachscott.com,Old Report,3
 zbozi.cz,Old Report,2.33
 zebrabook.bg,Old Report,2.13
 zuluwaterways.com,Old Report,2.21
 2021portugal.eu,New Report,2.5
 25hourshotels.com,New Report,2.61
 432player.com,New Report,2.67
 5pillarsuk.com,New Report,2.26
 9voltinteractive.com,New Report,2.5
 aaai.org,New Report,2.67
 aacai.com.au,New Report,2.57
 abdounassur.org,New Report,2.89
 abhisoft.net,New Report,2.13
 abotx.org,New Report,2.29
 acid3.acidtests.org,New Report,2
 actualite.cd,New Report,3.01
 admission.gatech.edu,New Report,2.77
 afsinc.org,New Report,2.43
 ainmeanaite.scot,New Report,2.68
 airdrieirish.com,New Report,3
 allaladdin.ga,New Report,2
 allmedia.news,New Report,2.05
 allsummitcounty.com,New Report,2.41
 alphabank.bg,New Report,2.35
 amywhitney.co.uk,New Report,2
 anchor.fm,New Report,2
 andrewforoklahoma.com,New Report,2.75
 android.funqai.com,New Report,2.37
 app.agentsuccessapp.com,New Report,2.33
 app.data4life.care,New Report,2.5
 argentdata.com,New Report,2.23
 artcodes.co.uk,New Report,2.71
 artsdistrictla.org,New Report,2.68
 ascobans.org,New Report,2.57
 ask.fedoraproject.org,New Report,2.38
 askonasholt.com,New Report,2.56
 asms.advitsahdev.com,New Report,2.33
 aspen82.com,New Report,2.67
 aspirebridge.com,New Report,3
 astarmathsandphysics.com,New Report,2.86
 astellas.us,New Report,2.86
 astreinvinotheke.de,New Report,2.55
 avpgalaxy.net,New Report,2.5
 awstats.sourceforge.net,New Report,2.63
 bakupages.com,New Report,2.94
 bankpapua.co.id,New Report,2.4
 barristerblogger.com,New Report,3
 bci.co.ck,New Report,3.39
 begalileo.com,New Report,2.27
 bekasikota.go.id,New Report,2
 benjaminloulier.com,New Report,2.04
 bestmodernchairs.com,New Report,2.71
 biblearchaeology.org,New Report,2.18
 bigappleshak.com,New Report,2.85
 bingu.net,New Report,2.53
 bizhankook.com,New Report,2.13
 blcklst.com,New Report,2.11
 blog.baeke.info,New Report,2.95
 blog.filmsupply.com,New Report,2.43
 blog.smile.io,New Report,2.4
 blog.spreendigital.de,New Report,2.22
 blowball.io,New Report,2.79
 bmp.ucla.edu,New Report,2.44
 bobspixels.com,New Report,2.17
 bphn.go.id,New Report,2.38
 bpvny.com,New Report,2.11
 bramptonmasons.com,New Report,2.4
 broadstreetmarket.org,New Report,2
 bryanplummer.com,New Report,2.37
 build.aol.com,New Report,3
 buy.ticketstothecity.com,New Report,2.29
 camaradellibro.com.uy,New Report,2.46
 canelatools.com,New Report,2.5
 capecoral.net,New Report,3.25
 caracolu.com,New Report,2.5
 carbonrationing.org.uk,New Report,2.7
 catholiczhodzina.by,New Report,2.34
 ceafinney.com,New Report,2
 chargeplacescotland.org,New Report,2.57
 chateaudeblois.fr,New Report,2
 chennai.consulate.gov.au,New Report,2.23
 civity.nl,New Report,2.2
 cleanup.org.au,New Report,2.67
 coastalhazards.uprm.edu,New Report,2
 cobo.com,New Report,2.53
 concertsinbudapest.com,New Report,2.3
 conductortech.com,New Report,2.82
 conservativenews.org,New Report,2.82
 console.developers.google.com,New Report,2
 copypastatext.com,New Report,2.2
 coq.inria.fr,New Report,2.25
 corsetiere.net,New Report,2.31
 coveringcfl.net,New Report,2.08
 cpx.sagepub.com,New Report,3.75
 crocodilian.com,New Report,2.5
 crssd.com,New Report,2.1
 curvyyoga.com,New Report,2.57
 d4donline.com,New Report,2.8
 dashbot.io,New Report,2.64
 davidgolding.com,New Report,2.33
 dcchs.org,New Report,2.33
 dcresource.com,New Report,2
 dealer.olxautos.com.co,New Report,2.5
 deepgenes.com,New Report,2.81
 demetrimusic.com,New Report,2.46
 designerspics.com,New Report,2.33
 disfrutatokio.com,New Report,2.14
 diskpart.com,New Report,2.45
 dlib.indiana.edu,New Report,3.33
 dmiinternational.org,New Report,2
 dobanevinosti.blogspot.ca,New Report,2.52
 docs.behat.org,New Report,2
 dogcastradio.com,New Report,2.71
 dogodilose.com,New Report,2
 donpedrobrooklyn.com,New Report,2.57
 dontextraditeassange.com,New Report,2.93
 dorianneto.com.br,New Report,1.5
 dou.ua,New Report,2.68
 dozsurvival.com,New Report,2.2
 drakoneditor.sourceforge.net,New Report,2.01
 drgo.us,New Report,2.79
 dtf.ru,New Report,2.27
 ducugames.com,New Report,2.27
 e.huawei.com,New Report,2.83
 earthwatch.org,New Report,2.83
 eco.int,New Report,2.22
 econt.com,New Report,2.6
 edfilmfest.org.uk,New Report,2.51
 edulibrarian.com,New Report,2.5
 ejcotopeni2022.microplustimingservices.com,New Report,2.6
 eldalamberon.com,New Report,2
 eltaxi.app,New Report,2.5
 embeddedlt.github.io,New Report,2.92
 en.eghtesadonline.com,New Report,2.24
 engineering.klarna.com,New Report,2.71
 engineersireland.ie,New Report,2.61
 ericksontribune.com,New Report,2
 ertopen.com,New Report,3.24
 estatediamondjewelry.com,New Report,2.16
 ettagroup.ru,New Report,2.62
 etudesafricaines.revues.org,New Report,2.22
 ,,
 everydaybeat.org,New Report,2
 eyehealthweb.com,New Report,2.85
 familytravel.com,New Report,2
 farm1.staticflickr.com,New Report,2
 fddb.org,New Report,2.65
 fh.huji.ac.il,New Report,2.75
 flashmob.dileque.si,New Report,2.5
 flseagrant.org,New Report,2.19
 focusmate.com,New Report,3.86
 folketidende.dk,New Report,3.21
 formahouse.co.uk,New Report,2.42
 fortadpays.com,New Report,3.5
 forwardjanesville.com,New Report,2.26
 foxsportswest.com,New Report,2.33
 freemodelfoundry.com,New Report,2.59
 freshservice.com,New Report,3.13
 frostburg.edu,New Report,2.44
 ,,
 fuldamobil.de,New Report,2.22
 funnycide.com,New Report,2.78
 gadaibpkbmobil.finance,New Report,2.76
 games.ironequal.com,New Report,2.5
 garbageplate.com,New Report,2.25
 gen.xyz,New Report,1.81
 genomeribbon.com,New Report,2.62
 getchef.com,New Report,2.61
 getdetox.me,New Report,2.63
 giftcard.cl,New Report,2.96
 ginolabo.com,New Report,1
 globerunner.org,New Report,2.5
 gloubik.info,New Report,2.5
 golistelecom.com,New Report,2.26
 golm.org.uk,New Report,2.49
 grainger.tngenealogy.net,New Report,2.14
 greatriverconference.org,New Report,2.41
 greekshadows.com,New Report,2
 greengathering.org.uk,New Report,2.32
 grenobleisere,New Report,2.67
 grimsoulgame.com,New Report,2.6
 group.canarywharf.com,New Report,2.3
 growit,New Report,2.22
 growveg.com,New Report,2.73
 gudangtekno.web.id,New Report,2.2
 hanshofmann.org,New Report,2.67
 happyfoto.de,New Report,3.08
 harbour.github.io,New Report,2.5
 haryanaassembly.gov.in,New Report,2.17
 hc.unicamp.br,New Report,2.68
 heat.csc.uvic.ca,New Report,1.8
 henan.china.com.cn,New Report,2.56
 hibernoenglish.com,New Report,3
 hightownsch.net,New Report,2.56
 hiringourheroes.org,New Report,3
 historicdetroit.org,New Report,3
 historicgames.com,New Report,2.14
 hktstarhomecall.com,New Report,2.48
 homesafety.honeywell.com,New Report,3.25
 honesttopaws.com,New Report,2.18
 hooters.com,New Report,2.79
 hungerford.uk.net,New Report,2
 huobi.com.ru,New Report,2
 idonline.com,New Report,2.77
 ia802905.us.archive.org,New Report,2
 iais.org.my,New Report,2.62
 ibme.uzh.ch,New Report,2
 icaa.cc,New Report,2.5
 ichriss.ccarh.org,New Report,2
 icpc.global,New Report,2.5
 id.rsqtechnologies.com,New Report,2
 impact.ref.ac.uk,New Report,2.2
 inasfid.org,New Report,2.92
 informath.org,New Report,2.33
 inmos.com,New Report,2.43
 insectbraindb.org,New Report,2.98
 insideathletic.com,New Report,2.92
 inspiredhealthmed.com,New Report,2.61
 intouch.org,New Report,2.7
